상호명,구분,주소,회차
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1000
로또 명당,자동,대구 동구 화랑로75길 69 ,1000
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1000
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1000
대한유통,자동,울산 북구 박상진11로 1 1층112호,1000
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1000
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1000
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1000
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1000
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1000
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1000
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1000
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1000
목화휴게소,자동,경남 사천시 사천대로 912 ,1000
신세계,자동,제주 제주시 고마로14길 7 ,1000
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1001
로또 명당,자동,대구 동구 화랑로75길 69 ,1001
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1001
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1001
대한유통,자동,울산 북구 박상진11로 1 1층112호,1001
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1001
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1001
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1001
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1001
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1001
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1001
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1001
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1001
목화휴게소,자동,경남 사천시 사천대로 912 ,1001
신세계,자동,제주 제주시 고마로14길 7 ,1001
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1002
로또 명당,자동,대구 동구 화랑로75길 69 ,1002
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1002
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1002
대한유통,자동,울산 북구 박상진11로 1 1층112호,1002
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1002
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1002
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1002
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1002
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1002
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1002
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1002
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1002
목화휴게소,자동,경남 사천시 사천대로 912 ,1002
신세계,자동,제주 제주시 고마로14길 7 ,1002
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1003
로또 명당,자동,대구 동구 화랑로75길 69 ,1003
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1003
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1003
대한유통,자동,울산 북구 박상진11로 1 1층112호,1003
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1003
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1003
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1003
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1003
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1003
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1003
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1003
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1003
목화휴게소,자동,경남 사천시 사천대로 912 ,1003
신세계,자동,제주 제주시 고마로14길 7 ,1003
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1004
로또 명당,자동,대구 동구 화랑로75길 69 ,1004
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1004
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1004
대한유통,자동,울산 북구 박상진11로 1 1층112호,1004
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1004
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1004
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1004
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1004
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1004
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1004
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1004
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1004
목화휴게소,자동,경남 사천시 사천대로 912 ,1004
신세계,자동,제주 제주시 고마로14길 7 ,1004
지원물산,자동,"서울 노원구 공릉로 108,(공릉동) ",1005
로또 명당,자동,대구 동구 화랑로75길 69 ,1005
초원복권 신창점,자동,광주 광산구 신창로 76 1층,1005
대전우표사,자동,대전 동구 중앙로204번길 16-1 ,1005
대한유통,자동,울산 북구 박상진11로 1 1층112호,1005
몽키버블티,자동,경기 군포시 고산로250번길 27 1층 일부호(당동),1005
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1005
꽃길,수동,경기 수원시 권선구 정조로 571 1층(세류동),1005
행운복권방,수동,경기 안성시 서동대로 7184 1층 복권방,1005
로또복권합정점,수동,경기 평택시 중앙로 176 127호 평택합정 SK뷰 주상복합,1005
세븐일레븐화성봉담수기점,자동,경기 화성시 세자로 358 ,1005
포항오거리CU복권,자동,경북 포항시 북구 죽도로 33 CU포항오거리점내,1005
삼정상회,자동,경남 김해시 활천로 23 가동 109호 복권판매점,1005
목화휴게소,자동,경남 사천시 사천대로 912 ,1005
신세계,자동,제주 제주시 고마로14길 7 ,1005
