,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2278,2018,남부,수원시,세대수 (세대),소계,492939.0
2279,2018,남부,수원시,등록인구 (명),소계,1242212.0
2280,2018,남부,수원시,등록인구 (명),남자,627004.0
2281,2018,남부,수원시,등록인구 (명),여자,615208.0
2282,2018,남부,수원시,한국인 (명),소계,1201166.0
2283,2018,남부,수원시,한국인 (명),남자,604918.0
2284,2018,남부,수원시,한국인 (명),여자,596248.0
2285,2018,남부,수원시,외국인 (명),소계,41046.0
2286,2018,남부,수원시,외국인 (명),남자,22086.0
2287,2018,남부,수원시,외국인 (명),여자,18960.0
2288,2018,남부,수원시,세대당 인구 (명),소계,2.44
2289,2018,남부,수원시,65세이상 고령자 (명),소계,117844.0
2290,2018,남부,수원시,65세이상 고령자 (명),한국인,117256.0
2291,2018,남부,수원시,65세이상 고령자 (명),외국인,588.0
2292,2018,남부,수원시,평균연령 (세),소계,38.9
2293,2018,남부,수원시,인구밀도 (명/㎢),소계,10262.0
2294,2018,남부,수원시,인구밀도면적 (㎢),소계,121.1
2295,2018,남부,성남시,세대수 (세대),소계,398412.0
2296,2018,남부,성남시,등록인구 (명),소계,972280.0
2297,2018,남부,성남시,등록인구 (명),남자,481647.0
2298,2018,남부,성남시,등록인구 (명),여자,490633.0
2299,2018,남부,성남시,한국인 (명),소계,954347.0
2300,2018,남부,성남시,한국인 (명),남자,472506.0
2301,2018,남부,성남시,한국인 (명),여자,481841.0
2302,2018,남부,성남시,외국인 (명),소계,17933.0
2303,2018,남부,성남시,외국인 (명),남자,9141.0
2304,2018,남부,성남시,외국인 (명),여자,8792.0
2305,2018,남부,성남시,세대당 인구 (명),소계,2.4
2306,2018,남부,성남시,65세이상 고령자 (명),소계,120370.0
2307,2018,남부,성남시,65세이상 고령자 (명),한국인,120100.0
2308,2018,남부,성남시,65세이상 고령자 (명),외국인,270.0
2309,2018,남부,성남시,평균연령 (세),소계,41.1
2310,2018,남부,성남시,인구밀도 (명/㎢),소계,6864.0
2311,2018,남부,성남시,인구밀도면적 (㎢),소계,141.6
2312,2018,남부,안양시,세대수 (세대),소계,222361.0
2313,2018,남부,안양시,등록인구 (명),소계,584239.0
2314,2018,남부,안양시,등록인구 (명),남자,289463.0
2315,2018,남부,안양시,등록인구 (명),여자,294776.0
2316,2018,남부,안양시,한국인 (명),소계,576831.0
2317,2018,남부,안양시,한국인 (명),남자,285816.0
2318,2018,남부,안양시,한국인 (명),여자,291015.0
2319,2018,남부,안양시,외국인 (명),소계,7408.0
2320,2018,남부,안양시,외국인 (명),남자,3647.0
2321,2018,남부,안양시,외국인 (명),여자,3761.0
2322,2018,남부,안양시,세대당 인구 (명),소계,2.59
2323,2018,남부,안양시,65세이상 고령자 (명),소계,67827.0
2324,2018,남부,안양시,65세이상 고령자 (명),한국인,67680.0
2325,2018,남부,안양시,65세이상 고령자 (명),외국인,147.0
2326,2018,남부,안양시,평균연령 (세),소계,41.0
2327,2018,남부,안양시,인구밀도 (명/㎢),소계,9994.0
2328,2018,남부,안양시,인구밀도면적 (㎢),소계,58.5
2329,2018,남부,부천시,세대수 (세대),소계,338759.0
2330,2018,남부,부천시,등록인구 (명),소계,868106.0
